Footnote,Year,"Country of origin (ISO)","Country of asylum (ISO)","Population type"
"UNHCR data on resettlement departures used in lieu of government resettlement arrival data, which was not available at end-2020",2020,AB9,ROU,
"Updated figure from the Royal Thai Government. The decrease includes the grant of Thai nationality to over 18,000 stateless people in the last three years.",2015,AB9,THA,STA
"UNHCR is currently working with the authorities and other actors to determine the size of the population that found an effective nationality solution under Law 169-14. Since the adoption of Law 169-14 in May 2014, important steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents before 2007. According to information shared by the Dominican delegation during the 2019 High-Level Segment on Statelessness, approximately 48 per cent of the total Group A population of 61,049 persons had been authorized by the National Electoral Board (JCE) to request their nationality documentation. Additionally, as of December 2019, over 1,700 Group B persons (900 of which were children) had submitted applications for naturalization to the Ministry of Interior and of the Police (MIP). However, no naturalization decisions concerning this population had been issued by end 2020.",2020,AB9,DOM,
"Figure refers to individuals without a nationality who were born in the Dominican Republic prior to January 2010 and who were identified by UNHCR in Haiti since June 2015.","2016 - 2017",AB9,HTI,STA
"In 2021, the figures for Spain include cases granted refugee status (7%), subsidiary protection (3%) and cases that were granted authorization to stay based on humanitarian reasons (18%).",2021,AB9,ESP,ASY
"Updated figure is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR, which began in 2014. During 2018, 781 persons of those registered acquired Malaysian nationality.",2018,AB9,MYS,STA
"Includes 104 persons in a refugee-like situation.",2015,SRB,MKD,"RET,REF"
"All figures refer to the mid of 2018.",2018,AB9,ZAF,ASY
"Includes 34,600 Iraqi refugees registered with UNHCR in Jordan. The Government estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",2018,IRQ,JOR,REF
"According to the Government of Algeria, there are an estimated 165,000 Sahrawi refugees in the Tindouf camps.","2016 - 2017",ESH,DZA,REF
"Following verification, returns to Somalia in 2013 have been revised downwards from 36,100 to 7,272, due to a reduction in the flow of returns from Kenya from 28,828 to zero.",2013,SOM,AB9,RET
"The figure does not represent the entire number of persons registered as stateless in the German Central Aliens Register. The number of stateless persons holding a humanitarian residence title (not all of whom are persons of concern to UNHCR) and the number of stateless asylum-seekers have been deducted from it.","2015 - 2017",AB9,DEU,STA
"Includes 34,000 Iraqi refugees registered with UNHCR in Jordan. The Government estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",2017,IRQ,JOR,REF
"The number of other people in need of international protection is estimated from the RMRP.",2021,AB9,CHL,OIP
"The great majority are former Yugoslav citizens who have yet to have their nationality of North Macedonia formally recognized through the issuance of documents proving nationality.",2018,AB9,MKD,STA
"Refugee figure includes 932,204 stateless persons from Myanmar.",2017,AB9,BGD,REF
"The Republic of Latvia enacted a Law on Stateless Persons on 17 February 2004, which replaced the Law on the Status of Stateless Persons in the Republic of Latvia of 18 February 1999, and which determines the legal status of persons who are not considered as citizens by the legislation of any State and whose status is not determined by the 25th April 1995 Law. This figure includes persons of concern who fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",2016,AB9,LVA,STA
"Figure refers to the census figure from 2010 adjusted to reflect the number of stateless persons who acquired nationality in 2011-2017.",2017,AB9,RUS,STA
"The total figure includes 243,000 persons originating from Myanmar in a refugee-like situation. The Government of Bangladesh estimates the population to be between 300,000 and 500,000.",2016,MMR,BGD,REF
"The refugee population in Jordan includes 34,300 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.","2019 - 2020",AB9,JOR,REF
"This figure is an estimate of stateless persons in Rakhine State derived from the 2014 census. It does not include an estimated 151,921 stateless IDPs, persons in an IDP-like situation who are also of concern under the statelessness mandate because they are already included within the figures on IDPs. In Rakhine State it is estimated to be approximately one million.",2015,AB9,MMR,STA
"The figures include an estimated 147,000 stateless IDPs, people in IDP-like situation who are also of concern under the statelessness mandate.",2016,MMR,MMR,IDP
"Figure is an extrapolation of the 2001 census figure of persons who self-declared as not having a nationality. It includes 5,650 persons who are registered as stateless by the Ministry of the Interior of Ukraine.",2018,AB9,UKR,STA
"Figure of Stateless persons refers to the census figure from 2010 adjusted to reflect the number of stateless persons who acquired nationality in 2011- 2015. The figure includes 12,881 stateless persons holding a temporary or a permanent residence permit.",2015,AB9,RUS,STA
"The 300,000 Vietnamese refugees are well integrated and in practice receive protection from the Government of China.","2015 - 2018",VNM,CHN,REF
"The total number of refugees is 78,398 at the end of 2019. The numbers published refer to end-2018, as validated disaggregated country of origin data for 2019 was not available at time of publication.",2019,AB9,ZAF,REF
"The data was provided by the Government on 26 September 2017.",2017,AB9,PNG,
"This figure presents an estimate of persons with undetermined nationality/at risk of statelessness, based on a survey conducted by the Directorate General of Immigration and Emigration (DGIE) in 2010, which found approximately 9500 persons to be at risk of statelessness. Efforts are underway to conduct a survey that will provide an updated and reliable statistics in 2022.","2021 - 2022",AB9,RWA,STA
"All figures refer to mid-2018.",2018,AB9,ZAF,ASY
"Refugee figure relates to the end of 2016.","2017 - 2018",AB9,LUX,REF
"UNHCR is currently working with the authorities and other actors to determine the size of the population that found an effective nationality solution under Law 169-14. Since the adoption of Law 169-14 in May 2014, important steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents. According to information released by the authorities, 26,153 individuals had been issued their Dominican civil documents by September of 2018. Additionally, 308 individuals formally presented their naturalization claims to the Ministry of Interior and Policeas of the end of 2018 and are awaiting their naturalization decrees.",2018,AB9,DOM,STA
"In the Islamic Republic of Iran, some 2.6 million Afghans have been reported as people in a refugee-like situation. In 2022, the Government of the Islamic Republic of Iran conducted a recount of the previously ""head counted"" population and extended the scope of this scheme to all undocumented Afghans residing in the country, including those who had newly arrived due to the Taliban takeover in 2021 in Afghanistan. It is reported that 2.6 million Afghans enrolled in this exercise, which provides them with a headcount slip and temporary protection from deportation.",2022,AB9,IRN,REF
"The 2021 end-year statelessness figure refers to stateless persons with permanent residence in Uzbekistan officially reported by the Government of Uzbekistan to UNHCR as of 31 December 2021. Information on other categories of statelessness is unavailable. The reported figure includes a reduction of 2,200 people who acquired the citizenship of Uzbekistan from 1 to 31 December 2020, which was not included in the 2020 annual statistics as it was reported in February 2022.",2021,AB9,UZB,STA
"An unknown number of refugees and asylum-seekers from South Sudan may be included under Sudan (in absence of separate statistics for both countries). IDP figure in South Sudan includes 105,000 people who are in an IDP-like situation.",2015,SSD,AB9,IDP
"The total statelessness figure includes 474,888 non-displaced stateless persons reported by the Royal Thai Government and registered with the national civil registration system as of December 2019. This figure includes 119 stateless persons of Rohingya ethnicity from Myanmar who are also counted as others of concern to UNHCR. UNHCR’s statistical reporting generally follows a methodology that reports only one status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as others of concern to UNHCR and stateless. This approach is being used for Thailand for the first time in 2019.",2019,AB9,THA,STA
"Number of stateless persons registered by the Department of Citizenship and Migration of the Ministry of Internal Affairs of Belarus. (In the 2009 census, 16,116 persons declared that they do not possess any nationality).","2015 - 2016",AB9,BLR,STA
"The refugee population includes 200,000 persons originating from Myanmar in a refugee-like situation. The Government of Bangladesh estimates the population to be between 300,000 and 500,000.",2015,MMR,BGD,REF
"Refugee figure for Iraqis in the Syrian Arab Republic was a Government estimate. UNHCR has registered and is assisting 15,700 Iraqis at the end of 2018. The refugee population in Jordan includes 34,600 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",2018,IRQ,AB9,REF
"The great majority are former Yugoslav citizens who have yet to have their nationality of The former Yugoslav Republic of Macedonia formally recognized through the issuance of documents proving nationality.","2015 - 2017",AB9,MKD,STA
"The Republic of Latvia enacted a Law on Stateless Persons on 17 February 2004, which replaced the Law on the Status of Stateless Persons in the Republic of Latvia of 18 February 1999, and which determines the legal status of persons who are not considered as citizens by the legislation of any State and whose status is not determined by the 25th April 1995 Law (quoted below).","2017 - 2018",AB9,LVA,STA
"The figure relate to the end of 2016.",2018,AB9,LUX,REF
"In Poland, the refugee population was rebased using the estimate of those likely to still be present on the territory of the State using the number of valid identity cards at year-end. This resulted in a reduction of some 10,200 refugees.",2020,AB9,POL,REF
"Refugee figure for Iraqis  in the Syrian Arab Republic was a Government estimate. UNHCR has registered and is assisting 15,700 Iraqis at the end of 2018.",2018,IRQ,SYR,REF
"The refugee population in Jordan includes 34,350 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",2021,IRQ,AB9,REF
"By mid-2022, there were 234 Ukrainian nationals, 73 of whom were protected, a further 73 under temporary residence on humanitarian grounds and 161 with non-visa stay.",2022,AB9,BIH,REF
"Refugee figure for Iraqis was a Government estimate. UNHCR has registered 15,700 Iraqis at the end of 2018. According to some reports many stateless persons were naturalized between 2011-2018, but no official figures are yet confirmed.",2018,IRQ,SYR,"REF,STA"
"Figure of stateless persons refers to individuals without a nationality who were born in the Dominican Republic prior to January 2010 and who were identified by UNHCR in Haiti during the reporting period.",2015,AB9,HTI,STA
"The overall figures for Spain include cases granted refugee status (4%), subsidiary protection (1%) and cases that were granted authorization to stay based on humanitarian reasons (37%).",2020,AB9,ESP,REF
"The refugee population in Bangladesh includes 243,000 persons in refugee- like situation from Myanmar. IDP figure in Myanmar includes 150,000 persons in an IDP-like situation.",2016,MMR,BGD,"REF,IDP"
"Data refers to number of cases or mix of persons and cases.","2016 - 2018",AB9,BEL,ASY
"The 2022 statelessness figure refers to stateless persons with permanent residence in Uzbekistan officially reported by the Government of Uzbekistan to UNHCR as of 31 December 2022. Information on other categories of statelessness is unavailable.",2022,AB9,UZB,STA
"Figure refers to a census from 2011 and is currently under review.",2015,AB9,ALB,STA
"Only those asylum-seekers facing acute or imminent protection risks are registered by UNHCR. There are some 13,400 other asylum-seekers who were individually assessed, counselled and advised to inform UNHCR of any changes in their situation, which would justify a decision to register them.",2022,AB9,SAU,ASY
"Australia's figures for asylum-seekers are based on the number of applications lodged for protection visas.","2017 - 2018",AB9,AUS,ASY
"The statelessness figure is based on a 2019 mapping study jointly conducted by the Government and UNHCR. On 30 June 2022, the cessation clause for Ivorian refugees recommended by UNHCR came into effect.",2022,AB9,CIV,STA
"The statelessness figure refers to a census from 2011 and has been adjusted to reflect the number of persons with undetermined nationality who had their nationality confirmed in 2011-2017.","2017 - 2018",AB9,ALB,STA
"Asylum applications and pending figures are adjusted with the average number of person per case(1.46).",2016,AB9,USA,ASY
"Figure refers to persons who have been recognized as stateless through the statelessness determination procedure in 2013 - 2016.","2016 - 2017",AB9,GBR,STA
"The statistics of the remaining IDPs at the end of 2015, while provided by the Government authorities at the district level, are being reviewed by the central authorities. Once this review has been concluded, the statistics will be changed accordingly.",2015,LKA,AB9,IDP
"Figure is based on a Government estimate of individuals who themselves or whose parents or grandparents migrated to Côte d’Ivoire before or just after independence and who did not establish their nationality at independence or before the nationality law changed in 1972. The estimate is derived in part from cases denied voter registration in 2010 because electoral authorities could not determine their nationality at the time. The estimation is adjusted to reflect the number of persons who acquired nationality through the special ‘acquisition of nationality by declaration’ procedure until end of 2018. The estimate does not include individuals of unknown parentage who were abandoned as children and who are not considered as nationals under Ivorian law.",2018,AB9,CIV,STA
"Refugee figure relates to the end of 2014.",2015,AB9,GNB,REF
"Figure based on a registration exercise in three regions and 729 people registered as stateless by the Ministry of Internal Affairs of Tajikistan.",2015,AB9,TJK,STA
"A study is being pursued to provide a revised estimate of this figure.","2016 - 2018",AB9,ZWE,STA
"The overall figures for Spain include cases granted refugee status (3%), subsidiary protection (3%) and cases that were granted authorization to stay based on humanitarian reasons (63%).",2019,AB9,ESP,REF
"No data was available for stateless persons residing in the United States of America.",2022,AB9,USA,STA
"The updated figure is based on improved information concerning persons of Indonesian descent who have acquired nationality.","2018 - 2021",AB9,PHL,STA
"Figures are UNHCR estimates.","2015 - 2019, 2021",AB9,JPN,"ASY,REF"
"The data was provided by the Government on 3 December 2018.",2018,AB9,PNG,
"Refers to refugee status determination conducted in Kosovo S/RES/1244(1999).","2015 - 2016",AB9,SRB,ASY
"UNHCR’s global reporting standard for asylum statistics is for individual level data. To meet this standard, US Citizenship and Immigration Services (USCIS) shared the 2021 asylum data expressed in terms of individuals. Previously, USCIS provided data based on asylum “cases” and average family household size, which UNHCR used to estimate the total number of individual asylum applications before USCIS. The shift in 2021 to USCIS reporting of individuals (not cases) allows for more precise reporting, as well as more consistency across the U.S. asylum data, since the U.S. Executive Office for Immigration Review (EOIR) has already been reporting individual-level asylum statistics to UNHCR. UNHCR notes that the increase in the reported number of asylum applications filed with USCIS in 2021 primarily reflects this change in reporting modality.",2021,AB9,USA,ASY
"Refers to people in refugee-like situations.",2022,UKR,CAN,REF
"The others of concern figure at end-2022 corresponds to the number of conflict-affected, non-displaced people assisted by UNHCR during the year.",2022,UKR,AB9,OOC
"Following verification, returns to Somalia in 2018 have been revised downwards from 87,542 to 13,082, primarily due to a reduction in the flow of returns from Kenya from 82,840 to 7,559.",2018,SOM,AB9,RET
"No information on asylum applications registered or decisions taken during 2015 is available. Pending cases refers to September 2013.",2015,AB9,ECU,ASY
"All figures relate to the end of 2014 except refugees.",2015,AB9,ECU,
"Figure refers to persons in a refugee-like situation.",2016,MOZ,MWI,RET
"Asylum applications registered and decisions taken is limited to UNHCR data.",2015,AB9,ISR,ASY
"The United States of America has not adopted a formal status determination procedure to identify stateless persons, and there is no official government data-tracking of the stateless population in the USA. As such, while the USA has a stateless population, the actual number is unknown.",2018,AB9,USA,STA
"Almost all people recorded as being stateless have permanent residence and enjoy more rights than foreseen in the 1954 Convention relating to the Status of Stateless Persons.","2015 - 2022",AB9,EST,STA
"Figure refers to individuals without a nationality who were born in the Dominican Republic prior to January 2010 and who were identified by UNHCR in Haiti from July 2015 to September 2017.",2018,AB9,HTI,STA
"Refugee figure for Iraqis in the Syrian Arab Republic was a Government estimate. UNHCR is assisting 18,300 Iraqis at the end of 2015.",2015,IRQ,SYR,REF
"This figure presents an estimate of persons with undetermined nationality/at risk of statelessness, based on joint outreach mission conducted by the Government of Uganda and UNHCR in September/October 2021, that aimed to provide estimate numbers through self-identification of communities not recognized under the Third Schedule of the 1995 Constitution.",2022,AB9,UGA,STA
"The total stateless population in Malaysia includes 9,040 non-displaced stateless persons who may be entitled to Malaysian nationality under the law. This number of non-displaced stateless persons is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR.","2020 - 2022",AB9,MYS,STA
"Figure from the 2011 census. It includes 28 persons registered as stateless by the Government of Croatia.",2018,AB9,HRV,STA
"According to some reports many stateless persons have been naturalized since 2011, but no official figures are yet confirmed.","2019 - 2022",AB9,SYR,STA
"The National Victims Registry of Colombia contains the historical accumulated figure of the number of victims of displacement which continues to increase, given that victims continue to be registered in the country. Thus, the total number of persons recognized as victims of displacement (more than 8.4 million), includes the number of IDPs who are subject to attention and/or reparation, i.e. those who meet the requirements to access the measures of attention and reparation established in Colombian Law 1448 (6.8 million). The number of victims of displacement who are deceased, direct victims of forced disappearance and homicide, and other victims who, for various reasons, cannot effectively access these measures, are identified as not being subject to attention or reparation and therefore not included in the figure of 6.8 million. The figure is constantly updated, considering that by legal definition, victims have up to two years to make their declaration and be included in the registry system. See the summary: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/37394.",2022,AB9,COL,IDP
"Data for refugees and stateless people is as of end-2020.  Data for asylum-seekers is sourced from the monthly statistics published on the Government website: https://migracija.lrv.lt/lt/statistika/prieglobscio-skyriaus-statistika/statistika-1/2021-metai",2021,AB9,LTU,
"By the end of 2017, a total of 6,072 persons out of the 8,745 persons of Indonesian descent registered by the Government of the Philippines between 2014-2016 were confirmed as Filipino, Indonesian or dual nationals.",2017,AB9,PHL,STA
"Refugee figure includes 906,635 stateless persons from Myanmar.",2018,AB9,BGD,REF
"No official data on the actual number of refugees residing in Bulgaria is available. According to estimates, between 1,000 and 2,000 refugees and humanitarian status holders remain in the country. It is expected that the 2021 National Census, which will include for the first-time refugee and stateless populations, will provide more accurate data by end of 2022.","2021 - 2022",AB9,BGR,REF
"The National Victims Registry of Colombia contains the historical accumulated figure of the number of victims of displacement, which continues to increase given that victims continue to be registered in the country. Thus, the total number of people recognized as victims of displacement (more than 8.2 million), includes the number of IDPs who are subject to attention and/or reparation, i.e. those who meet the requirements to access the measures of attention and reparation established in Colombian Law 1448 (6.8 million). The number of victims of displacement who are deceased, or IDPs who were victims of homicide or forced disappearance, and other victims who, for various reasons, cannot effectively access these measures, are identified as not being subject to attention or reparation and therefore not included in the figure of 6.8 million. The figure is constantly updated, considering that by legal definition, victims have up to two years to make their declaration and be included in the registry system. See the summary: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/37394.",2021,AB9,COL,IDP
"Includes 33,100 Iraqi refugees registered with UNHCR in Jordan. The Government estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",2016,IRQ,JOR,REF
"33 The estimated figure of persons of concern under the statelessness mandate relates to stateless persons of Rohingya ethnicity in Rakhine State, including stateless Rohingya IDPs in Myanmar. The number of persons of undetermined nationality residing in other states or regions in Myanmar is not currently available. The number of stateless persons remaining in Rakhine State following violence in 2016 and 2017 and large scale departures to Bangladesh is based on detailed estimates for each village tract made by UNHCR, other UN agencies and NGOs in early 2018, which concluded that between 532,000 to 600,000 Rohingya remained in Rakhine State, increasing to 630,000 due to additional displacement in 2022 (including an estimated 156,600 of those Rohingya who have been internally displaced).",2022,AB9,MMR,STA
"Figure refers to persons who have been recognized as stateless through the statelessness determination procedure in 2013 - 2015.",2015,AB9,GBR,STA
"Source: Eurostat",2019,AB9,BEL,ASY
"Updated figure is based on a registration exercise covering 28 municipalities that has taken place between 2014 and 2016. 4,112 of the registered group were confirmed as Filipino, Indonesian or dual nationals during 2016.",2016,AB9,PHL,STA
"New asylum applications were not received in 2021 while Refugee Reception Offices were closed due to the declaration of a national state of disaster (COVID-19 health pandemic).",2021,AB9,ZAF,ASY
"UNHCR is currently working with the authorities and other actors to determine the size of the population that found an effective nationality solution under Law 169-14. Since the adoption of Law 169-14 in May 2014, important steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents. Thousands of individuals also are believed to have been issued their Dominican civil documents in 2016, although an official figure was not available for this report.",2016,AB9,DOM,STA
"Since 2007, people in IDP-like situations are included in the IDP estimates. IDP figures since 2007 are not fully comparable with previous years.","2017 - 2018",AB9,AB9,IDP
"The figures include an estimated 125,000 stateless IDPs, people in IDP-like situation who are also of concern under the statelessness mandate.",2018,AB9,MMR,IDP
"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 160 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 187,404 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",2022,AB9,LVA,STA
"Pending a more accurate study into stateless in Iraq, the estimate of stateless persons in Iraq has been adjusted to reflect the reduction of statelessness in line with Law 26 of 2006, which allows stateless  persons to apply for nationality in certain circumstances.",2017,AB9,IRQ,STA
"Stateless figure refers to individuals without a nationality who were born in the Dominican Republic prior to January 2010 and who were identified by UNHCR in Haiti since June 2015.",2018,AB9,HTI,STA
"All figures refer to the end of 2016.","2017 - 2018",AB9,BOL,ASY
"Asylum applications which are reported as cases can be multiplied overall by average number of person per case of 1.501 when summarising the data by country of asylum, but not origin.  This is due to the significant variance in the average case size by country of origin.","2018 - 2019",AB9,USA,ASY
"UNHCR has recommended on 4 April 2014 to start the process of cessation of refugee status for refugees from Croatia displaced during the 1991-95 conflict. The Office suggests that cessation enters into effect latest by the end of 2017.","2015 - 2017",HRV,AB9,REF
"Figure adjusted to reflect the results of a verification exercise, identification of new cases and the number of individuals who had their nationality confirmed between 2014 and 2016.",2016,AB9,BIH,STA
"The data are generally provided by governments, based on their own definitions and methods of data collection.","2019 - 2022",AB9,AB9,
"The statelessness figure refers to stateless persons with permanent residence reported by the Government of Uzbekistan in December 2019 under the XII Report on compliance of Uzbekistan with CERD. Information on other categories of statelessness is unavailable.",2019,AB9,UZB,STA
"The statelessness figure refers to a census from 2011 and has been adjusted to reflect the number of persons with undetermined nationality who had their nationality confirmed in 2011-2016.",2016,AB9,ALB,STA
"The total stateless population in Malaysia includes 9,040 non-displaced stateless persons who may be entitled to Malaysian nationality under the law. This number of non-displaced stateless persons is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR, and, among those registered, 930 persons acquired Malaysian nationality in 2019. The total statelessness figure reported also includes 99,292 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. This approach is being used for Malaysia for the first time in 2019.",2019,AB9,MYS,STA
"The figure of Others of concern has been provided by the Government of Colombia.","2019 - 2020",AB9,COL,OOC
"Pending a more accurate study into statelessness in Iraq, the figure is an estimate based on various sources.","2019 - 2022",AB9,IRQ,STA
"Refers to Palestinian refugees under the UNHCR mandate only.","2015 - 2018, 2020 - 2022",PSE,AB9,REF
"Refugee figure relates to the end of 2015.",2016,AB9,AGO,REF
"Figure of stateless persons was estimated from the 2014 census. It does not include an estimated 151,921 stateless IDPs, persons in an IDP-like situation who are also of concern under the statelessness mandate because they are already included within the figures on IDPs.In Rakhine State it is estimated to be approximately one million.",2015,MMR,AB9,STA
"The figure includes persons determined to be stateless following the statelessness determination procedure and persons with undetermined nationality who hold expired Soviet passports.","2015 - 2018",AB9,MDA,STA
"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 178 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 252,017 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",2015,AB9,LVA,STA
"Updated figure is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR, which began in 2014. During 2017, 906 persons of those registered acquired Malaysian nationality.",2017,AB9,MYS,STA
"Decisions during 2018 are not available.",2018,AB9,NRU,ASY
"Figure refers to a census from 2011 and has been adjusted to reflect the number of persons with undetermined nationality who had their nationality confirmed in 2011-2016.",2016,AB9,ALB,STA
"Data is as of end-2019.",2022,AB9,MCO,
"The statelessness figure refers to stateless persons with permanent residence reported by the Government in 2010. The figure has been adjusted to reflect the acquisition of nationality of 179 formerly stateless persons. Information on other categories of stateless persons is not available.",2016,AB9,UZB,STA
"Refugee figure for Iraqis and stateless persons in the Syrian Arab Republic was a Government estimate. UNHCR has registered and is assisting 16,900 Iraqis at the end of 2016.",2016,AB9,SYR,"STA,REF"
"The refugee population includes 243,000 persons originating from Myanmar in a refugee-like situation. The Government of Bangladesh estimates the population to be between 300,000 and 500,000.",2016,AB9,BGD,REF
"This figure includes persons of concern who fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).","2017 - 2018",AB9,LVA,STA
"The methodology for estimating the number of refugees in Australia is under review and subject to adjustment in future reports.",2022,AB9,AUS,REF
"The Republic of Latvia enacted a Law on Stateless Persons on 17 February 2004, which replaced the Law on the Status of Stateless Persons in the Republic of Latvia of 18 February 1999, and which determines the legal status of persons who are not considered as citizens by the legislation of any State and whose status is not determined by the 25th April 1995 law (quoted below).",2015,AB9,LVA,STA
"The figure of IDP returns was released by the ""Commissions de mouvements de population” and covers the period from April 2018 to September 2019.",2019,AB9,COD,"IDP,OOC"
"IDP figure in Myanmar includes 120,000 persons in an IDP-like situation.","2017 - 2018",MMR,MMR,IDP
"In the absence of official data, the figure reported refers to stateless persons and persons with undetermined nationality identified by UNHCR partner organizations in Turkmenistan. The increase in the reported figure is due to the identification of new persons in stateless situations.",2021,AB9,TKM,STA
"The number of refugees will be re-estimated based on the data received from from the government as of start 2022.",2022,AB9,NLD,REF
"The figure includes: i) 300,000 children abandoned at birth: Government estimate of individuals of unknown parentage who were abandoned as children and who are not considered as nationals under Ivorian law. ii) 400,000 descendants of immigrants: Government estimate of individuals who themselves or whose parents or grandparents migrated to Côte d’Ivoire before or just after independence and who did not establish their nationality at independence or before the nationality law changed in 1972. The estimate is derived in part from cases denied voter registration in 2010 because electoral authorities could not determine their nationality at the time.",2015,AB9,CIV,STA
"Decisions during the year are not available.",2017,AB9,NRU,ASY
"Figure at the end of 2016 refers to 33,100 Iraqi refugees registered with UNHCR. The Government estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",2016,IRQ,JOR,REF
"The figure is an estimate.","2015 - 2017",AB9,SYR,STA
"The statelessness figure refers to the census figure from 2010 adjusted to reflect the number of stateless persons who acquired nationality in 2011-2018.",2018,AB9,RUS,STA
"Since 2007, people in refugee-like situations are included in the refugee estimates. Figures as from 2007 are not fully comparable with previous years","2017 - 2018",AB9,AB9,REF
"The number of other people in need of international protection is estimated from the Regional Refugee and Migrant Response Plan.",2022,AB9,CHL,OIP
"Figure refers to stateless persons with permanent residence reported by the Government in 2010. The figure has been adjusted to reflect the acquisition of nationality of 179 formerly stateless persons. Information on other categories of stateless persons is not available.",2016,AB9,UZB,STA
"Figure refers to persons who have been recognized as stateless through the statelessness determination procedure in 2013 - 2018.",2018,AB9,GBR,STA
